
 ps_partkey  ps_suppkey  l_orderkey  l_linenumber 
       1319          96         423             1 
       1252          53         448             1 
       1724          51         448             2 
        269          24         448             3 
       1691          92         448             4 
       1373          74         448             5 
       1520           1         449             1 
       1085          91         449             2 
        100           1         449             3 
       1577          58         449             4 
       1616          40         450             1 
       1063          64         450             2 
       1426           5         450             3 
        563          54         450             4 
        781          82         450             5 
       1528          69         450             6 
       1296          71         451             1 
        321          78         451             2 
        862          63         451             3 
        766          63         451             4 
       1147          48         452             1 
       1980          69         453             1 
       1752          79         453             2 
        132          85         453             3 
        958          59         453             4 
        258          86         453             5 
        944          79         453             6 
       1176          85         454             1 
       1565          86         455             1 
        273          74         455             2 
        484          43         455             3 
       1701          28         455             4 
        522          23         480             1 
        187          66         481             1 
        207           8         481             2 
       1858          59         481             3 
        811          78         481             4 
       1120          93         481             5 
       1374          75         482             1 
       1214          26         482             2 
        612          75         482             3 
       1959          60         482             4 
        383          40         482             5 
        787          88         482             6 
        327          56         483             1 
        798          99         483             2 
        878          12         483             3 
        302          59         484             1 
        320           5         484             2 
       1834          78         484             3 
       1649          50         484             4 
        764          29         484             5 
        969           4         484             6 
       1496          97         485             1 
        280          35         485             2 
       1369          84         485             3 
        755          56         486             1 
        671          72         486             2 
       1360          99         486             3 
        719          84         486             4 
        281          63         486             5 
        466          96         486             6 
        919          20         487             1 
        821          22         487             2 
       1889          33         512             1 
        229          84         512             2 
       1795          96         512             3 
        825          92         512             4 
        642          43         512             5 
        321          50         512             6 
        508          39         512             7 
        618          12         513             1 
       1217          29         513             2 
        788          21         514             1 
       1175          12         514             2 
        129          56         514             3 
       1154          55         514             4 
       1041          77         515             1 
       1477          56         515             2 
       1822          52         515             3 
       1087          88         515             4 
       1309          48         515             5 
       1087          58         515             6 
        250           5         516             1 
        446          47         517             1 
       1554          95         517             2 
        410          40         517             3 
       1322          23         517             4 
        234          89         517             5 
       1648          49         518             1 
        832          32         518             2 
       1332           9         518             3 
       1220          21         518             4 
        701           2         518             5 
       1964          53         518             6 
       1860           4         518             7 
       1590          71         519             1 
         30          31         519             2 
       1059          30         519             3 
        463          51         519             4 
         91          42         519             5 
       1510          91         519             6 
       1385          86         544             1 
       1696          97         545             1 
       1702          87         545             2 
        846          46         546             1 
        708          73         547             1 
       1364          41         547             2 
       1814           1         547             3 
       1966          67         548             1 
         47          48         548             2 
          2          78         548             3 
        568          59         548             4 
        930          33         548             5 
       1528           9         548             6 
       1951          40         549             1 
       1888          89         549             2 
        653          54         549             3 
        202          84         549             4 
        235          17         549             5 
       1904          49         550             1 
        238          66         551             1 
       1589          70         551             2 
       1611          94         551             3 
        865          32         576             1 
        331          88         576             2 
        366          95         576             3 
       1377          54         576             4 
        259          14         577             1 
        633          96         577             2 
       1556          57         578             1 
       1871          58         578             2 
       1507          88         579             1 
        322          79         579             2 
        591          52         579             3 
         62          88         579             4 
        127          54         579             5 
       1668          10         579             6 
        850          50         580             1 
       1734          35         580             2 
       1845          89         580             3 
        634          97         581             1 
        926          61         581             2 
       1002          73         581             3 
        750          15         581             4 
        565          56         582             1 
        503           4         582             2 
       1404          83         582             3 
       1678          79         582             4 
       1444          45         583             1 
       1197          34         583             2 
       1295          33         583             3 
       1413          31         583             4 
       1886          16         583             5 
       1536          57         608             1 
       1974          63         608             2 
        656          88         609             1 
       1108          81         610             1 
        679          73         610             2 
       1177          78         610             3 
       1853          97         610             4 
       1458          59         610             5 
        944          79         610             6 
       1893          80         610             7 
        169          48         611             1 
        807           8         611             2 
       1196          33         611             3 
       1850          37         612             1 
       1949          94         612             2 
        662          25         612             3 
        390          19         612             4 
        878          12         612             5 
       1883          13         612             6 
        901           4         613             1 
        784          81         613             2 
       1851          95         613             3 
       1584          85         613             4 
       1942          31         614             1 
       1869          13         614             2 
       1670          94         614             3 
       1470          88         614             4 
       1954          99         614             5 
       1363          40         614             6 
       1046          47         615             1 
        930          33         640             1 
          5          31         640             2 
       1795          22         640             3 
        315          16         640             4 
       1252          64         641             1 
        995          30         641             2 
        944          79         641             3 
        701          66         641             4 
         38          89         641             5 
        537          38         642             1 
        123           2         643             1 
        502           3         643             2 
       1625          67         643             3 
        448          36         643             4 
       1895          82         643             5 
       1332          71         644             1 
       1299          11         644             2 
       1001          72         644             3 
        798          95         644             4 
        493          94         644             5 
        850          50         644             6 
        503          34         644             7 
       1597          38         645             1 
       1695          96         645             2 
        693          56         645             3 
        955          24         645             4 
         48          74         645             5 
        337          94         645             6 
        271          72         645             7 
       1090          96         646             1 
       1268          69         646             2 
        298          53         646             3 
        988          57         646             4 
        892          59         646             5 
       1145          18         646             6 
        164          91         647             1 
       1122          95         647             2 
       1529          10         647             3 
       1722          23         672             1 
       1897          98         672             2 
       1424          42         672             3 
        705          70         673             1 
       1014          50         674             1 
        583          44         674             2 
       1565          86         675             1 
       1367          82         675             2 
       1759           2         675             3 
        993          96         675             4 
         47          73         675             5 
        510           1         676             1 
        777          74         676             2 
       1624          25         676             3 
        729          26         676             4 
       1652          76         676             5 
        760          61         676             6 
       1422           1         676             7 
        590          21         677             1 
       1674          75         677             2 
        233          34         677             3 
       1477          95         677             4 
       1497          15         677             5 
       1456          57         678             1 
        366          51         678             2 
       1425          65         678             3 
       1981          82         678             4 
        975          76         678             5 
        429          30         678             6 
       1918          19         679             1 
       1900           1         704             1 
         39          40         704             2 
       1884          28         705             1 
       1163          72         705             2 
       1967          12         706             1 
       1548          49         707             1 
        427          57         707             2 
       1239          51         708             1 
       1792          93         708             2 
       1213          25         708             3 
        552          53         708             4 
       1425          43         708             5 
        224           6         708             6 
        863          30         709             1 
       1973          18         709             2 
       1685          27         709             3 
       1073          74         709             4 
       1622          46         710             1 
       1930          31         710             2 
       1390           5         710             3 
        894          95         710             4 
       1855          42         710             5 
       1137          46         710             6 
       1593          14         710             7 
       1458          98         711             1 
       1026          97         711             2 
       1271          46         711             3 
       1277          78         711             4 
       1574          75         736             1 
        795          96         736             2 
        567          58         736             3 
        979          82         736             4 
       1681          64         736             5 
       1819          49         737             1 
       1973          62         738             1 
       1871          72         738             2 
       1697          98         738             3 
       1408          26         738             4 
       1749          34         738             5 
        845          79         739             1 
         36          62         739             2 
        488          47         739             3 
        435          23         739             4 
       1876           6         739             5 
         13          89         740             1 
        653          47         740             2 
       1981          82         740             3 
       1865          52         741             1 
        904          73         741             2 
       1014          15         742             1 
        954          89         742             2 
       1016          52         742             3 
       1919          64         742             4 
       1001          37         742             5 
       1920          53         742             6 
       1915           4         743             1 
       1959          60         768             1 
        179          80         768             2 
         60          11         768             3 
        245          27         768             4 
        465          24         768             5 
       1117          90         768             6 
        481          82         768             7 
       1751          94         769             1 
       1591          32         769             2 
       1802          46         770             1 
        533          64         770             2 
         70          46         771             1 
       1606          48         771             2 
         64          65         771             3 
        413          14         771             4 
        775          72         771             5 
        820          20         771             6 
        527          18         772             1 
        831          98         772             2 
        852          53         772             3 
       1799          26         772             4 
        537          38         772             5 
        994          95         773             1 
        101          28         773             2 
       1501          22         773             3 
        281          36         773             4 
       1331          32         773             5 
        396          97         773             6 
       1827          28         774             1 
        161          14         774             2 
       1479          97         774             3 
        150          51         774             4 
       1762          89         774             5 
       1199         100         774             6 
        317          74         775             1 
       1733          60         775             2 
       1071          77         775             3 
        719          84         800             1 
        843          77         800             2 
       1751          36         800             3 
         52          28         801             1 
        947          16         801             2 
         27          28         801             3 
       1636          60         801             4 
        732          29         801             5 
       1219          57         801             6 
        257          12         801             7 
       1426           5         802             1 
       1328          29         802             2 
       1310          11         802             3 
       1566          47         802             4 
       1318          19         802             5 
        535          96         803             1 
        988          89         803             2 
       1253          54         804             1 
       1984          17         804             2 
        756          21         804             3 
        376          33         804             4 
       1979          24         805             1 
        567          98         805             2 
        465          66         805             3 
        754          87         805             4 
       1048          54         806             1 
       1598          79         806             2 
        904          39         806             3 
       1166          75         807             1 
       1549          30         807             2 
       1803          33         807             3 
        793          94         807             4 
       1425           4         807             5 
        117          96         807             6 
          2          53         807             7 
       1030          66         832             1 
        475          34         832             2 
        536          37         833             1 
       1119          56         833             2 
       1612          36         833             3 
       1442          82         834             1 
         70          21         834             2 
       1065          36         835             1 
       1846          33         835             2 
       1880          10         836             1 
        836          36         836             2 
       1407          47         836             3 
        566          97         837             1 
        874          74         837             2 
       1338          77         838             1 
        283          84         838             2 
        948          83         838             3 
        432          33         838             4 
       1571          92         839             1 
       1884          85         839             2 
       1297          35         864             1 
        980          49         864             2 
        794          27         864             3 
       1973          18         865             1 
        192          45         865             2 
        861          28         865             3 
       1684           8         865             4 
       1358          59         866             1 
       1388          89         867             1 
       1680          81         868             1 
        287          42         868             2 
        675          38         868             3 
       1211          86         868             4 
        245          27         868             5 
       1243          44         868             6 
        623          55         869             1 
        461          91         869             2 
        492          80         870             1 
       1859          60         870             2 
        964          65         871             1 
        546           7         871             2 
       1080          86         871             3 
       1900           1         871             4 
       1275          50         871             5 
       1425          43         871             6 
       1734          19         871             7 
        387          88         896             1 
       1977          10         896             2 
         20          96         896             3 
       1517          18         896             4 
       1875           5         896             5 
       1769          54         896             6 
       1089          25         896             7 
        905          74         897             1 
       1832          62         897             2 
       1258          96         897             3 
       1012          83         897             4 
       1602           3         898             1 
       1786          13         898             2 
        483          71         898             3 
       1922          11         898             4 
        601          33         899             1 
        461          91         899             2 
        850          50         899             3 
       1798          83         899             4 
