
 p_name                                      s_name                     l_orderkey  l_linenumber 
 peru green linen blush olive                Supplier#000000095              17959             2 
 peru green linen blush olive                Supplier#000000095              17472             2 
 peru green linen blush olive                Supplier#000000095              16290             4 
 peru green linen blush olive                Supplier#000000095               9956             1 
 peru green linen blush olive                Supplier#000000020              49347             2 
 peru green linen blush olive                Supplier#000000020              28802             5 
 peru green linen blush olive                Supplier#000000020              12548             3 
 peru green linen blush olive                Supplier#000000020               2752             2 
 peru green linen blush olive                Supplier#000000045              49861             3 
 peru green linen blush olive                Supplier#000000045              37798             2 
 peru green linen blush olive                Supplier#000000045              36195             2 
 peru green linen blush olive                Supplier#000000045              23079             4 
 peru green linen blush olive                Supplier#000000045              15527             2 
 peru green linen blush olive                Supplier#000000045              13348             1 
 peru green linen blush olive                Supplier#000000045               6596             4 
 peru green linen blush olive                Supplier#000000045               6084             2 
 peru green linen blush olive                Supplier#000000045               2080             1 
 sky green spring lavender white             Supplier#000000072              59367             5 
 sky green spring lavender white             Supplier#000000072              57127             1 
 sky green spring lavender white             Supplier#000000072              45543             1 
 sky green spring lavender white             Supplier#000000072              45025             1 
 sky green spring lavender white             Supplier#000000072              40481             5 
 sky green spring lavender white             Supplier#000000072              39492             2 
 sky green spring lavender white             Supplier#000000072              38183             2 
 sky green spring lavender white             Supplier#000000072              21250             3 
 sky green spring lavender white             Supplier#000000072              17760             1 
 sky green spring lavender white             Supplier#000000072              15747             1 
 sky green spring lavender white             Supplier#000000072              14115             1 
 sky green spring lavender white             Supplier#000000097              52032             4 
 sky green spring lavender white             Supplier#000000097              30245             1 
 sky green spring lavender white             Supplier#000000097              27746             3 
 sky green spring lavender white             Supplier#000000097              25734             1 
 sky green spring lavender white             Supplier#000000097              18530             3 
 sky green spring lavender white             Supplier#000000097              13600             2 
 sky green spring lavender white             Supplier#000000097               5057             2 
 sky green spring lavender white             Supplier#000000097                 68             1 
 sky green spring lavender white             Supplier#000000022              58372             3 
 sky green spring lavender white             Supplier#000000022              40771             6 
 sky green spring lavender white             Supplier#000000022              28225             1 
 sky green spring lavender white             Supplier#000000022              21893             4 
 sky green spring lavender white             Supplier#000000047              50465             1 
 sky green spring lavender white             Supplier#000000047              50181             5 
 sky green spring lavender white             Supplier#000000047              43526             4 
 sky green spring lavender white             Supplier#000000047              41094             6 
 sky green spring lavender white             Supplier#000000047              39681             4 
 sky green spring lavender white             Supplier#000000047              37190             2 
 sky green spring lavender white             Supplier#000000047              36320             2 
 sky green spring lavender white             Supplier#000000047              35811             6 
 sky green spring lavender white             Supplier#000000047              31782             2 
 sky green spring lavender white             Supplier#000000047              30695             1 
 sky green spring lavender white             Supplier#000000047              29955             2 
 sky green spring lavender white             Supplier#000000047              11685             3 
 sky green spring lavender white             Supplier#000000047              11363             3 
 sky green spring lavender white             Supplier#000000047               9027             1 
 sky green spring lavender white             Supplier#000000047               8391             3 
 blush green slate bisque powder             Supplier#000000079              57922             1 
 blush green slate bisque powder             Supplier#000000079              48992             2 
 blush green slate bisque powder             Supplier#000000079              36773             2 
 blush green slate bisque powder             Supplier#000000079              31330             5 
 blush green slate bisque powder             Supplier#000000079              30695             5 
 blush green slate bisque powder             Supplier#000000079              29446             3 
 blush green slate bisque powder             Supplier#000000079              28678             1 
 blush green slate bisque powder             Supplier#000000079              23906             2 
 blush green slate bisque powder             Supplier#000000079              16224             5 
 blush green slate bisque powder             Supplier#000000079              12518             7 
 blush green slate bisque powder             Supplier#000000004              52388             6 
 blush green slate bisque powder             Supplier#000000004              31174             1 
 blush green slate bisque powder             Supplier#000000004              28036             4 
 blush green slate bisque powder             Supplier#000000004              21636             1 
 blush green slate bisque powder             Supplier#000000029              42049             2 
 blush green slate bisque powder             Supplier#000000029              41890             1 
 blush green slate bisque powder             Supplier#000000029              39329             2 
 blush green slate bisque powder             Supplier#000000029              38595             1 
 blush green slate bisque powder             Supplier#000000029              36257             1 
 blush green slate bisque powder             Supplier#000000029              31203             1 
 blush green slate bisque powder             Supplier#000000029              30433             3 
 blush green slate bisque powder             Supplier#000000029              26433             4 
 blush green slate bisque powder             Supplier#000000029              24932             2 
 blush green slate bisque powder             Supplier#000000029              17186             5 
 blush green slate bisque powder             Supplier#000000029              13031             6 
 blush green slate bisque powder             Supplier#000000029               1828             4 
 blush green slate bisque powder             Supplier#000000054              48742             4 
 blush green slate bisque powder             Supplier#000000054              46629             1 
 blush green slate bisque powder             Supplier#000000054              31847             1 
 blush green slate bisque powder             Supplier#000000054              13763             1 
 blush green slate bisque powder             Supplier#000000054              10663             1 
 blush green slate bisque powder             Supplier#000000054               7717             2 
 blush green slate bisque powder             Supplier#000000054               5635             4 
 chocolate green deep lace aquamarine        Supplier#000000084              39521             3 
 chocolate green deep lace aquamarine        Supplier#000000084              36513             2 
 chocolate green deep lace aquamarine        Supplier#000000084              24067             5 
 chocolate green deep lace aquamarine        Supplier#000000084              14337             5 
 chocolate green deep lace aquamarine        Supplier#000000084               2055             2 
 chocolate green deep lace aquamarine        Supplier#000000009              57921             1 
 chocolate green deep lace aquamarine        Supplier#000000009              50403             4 
 chocolate green deep lace aquamarine        Supplier#000000009              45762             3 
 chocolate green deep lace aquamarine        Supplier#000000009              42887             2 
 chocolate green deep lace aquamarine        Supplier#000000009              36708             2 
 chocolate green deep lace aquamarine        Supplier#000000009              21635             3 
 chocolate green deep lace aquamarine        Supplier#000000009              19940             2 
 chocolate green deep lace aquamarine        Supplier#000000009                903             3 
 chocolate green deep lace aquamarine        Supplier#000000034              50016             5 
 chocolate green deep lace aquamarine        Supplier#000000034              45092             1 
 chocolate green deep lace aquamarine        Supplier#000000034              40323             4 
 chocolate green deep lace aquamarine        Supplier#000000034              23779             5 
 chocolate green deep lace aquamarine        Supplier#000000034              21442             3 
 chocolate green deep lace aquamarine        Supplier#000000034               1955             4 
 chocolate green deep lace aquamarine        Supplier#000000059              45830             2 
 chocolate green deep lace aquamarine        Supplier#000000059              45191             1 
 chocolate green deep lace aquamarine        Supplier#000000059              36993             3 
 chocolate green deep lace aquamarine        Supplier#000000059              32867             1 
 chocolate green deep lace aquamarine        Supplier#000000059              22884             1 
 chocolate green deep lace aquamarine        Supplier#000000059              20868             3 
 chocolate green deep lace aquamarine        Supplier#000000059              20832             2 
 chocolate green deep lace aquamarine        Supplier#000000059              17702             1 
 chocolate green deep lace aquamarine        Supplier#000000059              15202             3 
 chocolate green deep lace aquamarine        Supplier#000000059               8737             1 
 chocolate green deep lace aquamarine        Supplier#000000059               7680             4 
 chocolate green deep lace aquamarine        Supplier#000000059               4196             2 
 green blanched khaki steel deep             Supplier#000000087              57632             2 
 green blanched khaki steel deep             Supplier#000000087              46725             7 
 green blanched khaki steel deep             Supplier#000000087              44999             1 
 green blanched khaki steel deep             Supplier#000000087              38528             3 
 green blanched khaki steel deep             Supplier#000000087              37221             1 
 green blanched khaki steel deep             Supplier#000000087              18663             3 
 green blanched khaki steel deep             Supplier#000000087               4805             5 
 green blanched khaki steel deep             Supplier#000000012              41796             1 
 green blanched khaki steel deep             Supplier#000000012              34626             6 
 green blanched khaki steel deep             Supplier#000000012              29063             2 
 green blanched khaki steel deep             Supplier#000000012              27783             1 
 green blanched khaki steel deep             Supplier#000000012              21504             5 
 green blanched khaki steel deep             Supplier#000000012              20322             5 
 green blanched khaki steel deep             Supplier#000000012              20166             2 
 green blanched khaki steel deep             Supplier#000000012              14917             4 
 green blanched khaki steel deep             Supplier#000000012               3233             4 
 green blanched khaki steel deep             Supplier#000000037              57155             3 
 green blanched khaki steel deep             Supplier#000000037              56866             4 
 green blanched khaki steel deep             Supplier#000000037              55139             3 
 green blanched khaki steel deep             Supplier#000000037              24198             4 
 green blanched khaki steel deep             Supplier#000000037              22818             2 
 green blanched khaki steel deep             Supplier#000000037              17380             3 
 green blanched khaki steel deep             Supplier#000000037              11431             7 
 green blanched khaki steel deep             Supplier#000000037               2976             1 
 green blanched khaki steel deep             Supplier#000000062              52704             1 
 green blanched khaki steel deep             Supplier#000000062              40961             2 
 green blanched khaki steel deep             Supplier#000000062              33345             3 
 green blanched khaki steel deep             Supplier#000000062              28576             6 
 green blanched khaki steel deep             Supplier#000000062              27586             5 
 green blanched khaki steel deep             Supplier#000000062              24418             1 
 green blanched khaki steel deep             Supplier#000000062               7334             3 
 moccasin green orchid blue blanched         Supplier#000000028              58759             1 
 moccasin green orchid blue blanched         Supplier#000000028              38695             1 
 moccasin green orchid blue blanched         Supplier#000000028              35555             3 
 moccasin green orchid blue blanched         Supplier#000000028              35237             4 
 moccasin green orchid blue blanched         Supplier#000000028              29057             6 
 moccasin green orchid blue blanched         Supplier#000000028              19876             1 
 moccasin green orchid blue blanched         Supplier#000000028              18144             4 
 moccasin green orchid blue blanched         Supplier#000000028              12960             2 
 moccasin green orchid blue blanched         Supplier#000000054              58534             3 
 moccasin green orchid blue blanched         Supplier#000000054              49474             1 
 moccasin green orchid blue blanched         Supplier#000000054              43234             1 
 moccasin green orchid blue blanched         Supplier#000000054              37186             2 
 moccasin green orchid blue blanched         Supplier#000000054              35203             2 
 moccasin green orchid blue blanched         Supplier#000000054              28902             4 
 moccasin green orchid blue blanched         Supplier#000000054              24354             5 
 moccasin green orchid blue blanched         Supplier#000000054               2723             1 
 moccasin green orchid blue blanched         Supplier#000000054                579             5 
 moccasin green orchid blue blanched         Supplier#000000080              57284             3 
 moccasin green orchid blue blanched         Supplier#000000080              41284             4 
 moccasin green orchid blue blanched         Supplier#000000080              39206             1 
 moccasin green orchid blue blanched         Supplier#000000080              32231             6 
 moccasin green orchid blue blanched         Supplier#000000080              15075             2 
 moccasin green orchid blue blanched         Supplier#000000080              13505             2 
 moccasin green orchid blue blanched         Supplier#000000006              58272             3 
 moccasin green orchid blue blanched         Supplier#000000006              42373             4 
 moccasin green orchid blue blanched         Supplier#000000006              16583             1 
 moccasin green orchid blue blanched         Supplier#000000006              16547             2 
 moccasin green orchid blue blanched         Supplier#000000006              15463             4 
 moccasin green orchid blue blanched         Supplier#000000006                322             3 
 antique red moccasin green burlywood        Supplier#000000051              59845             6 
 antique red moccasin green burlywood        Supplier#000000051              55586             2 
 antique red moccasin green burlywood        Supplier#000000051              55456             3 
 antique red moccasin green burlywood        Supplier#000000051              51942             2 
 antique red moccasin green burlywood        Supplier#000000051              50883             2 
 antique red moccasin green burlywood        Supplier#000000051              48929             4 
 antique red moccasin green burlywood        Supplier#000000051              47300             2 
 antique red moccasin green burlywood        Supplier#000000051              40391             5 
 antique red moccasin green burlywood        Supplier#000000051              35911             1 
 antique red moccasin green burlywood        Supplier#000000051              26339             3 
 antique red moccasin green burlywood        Supplier#000000051              21985             2 
 antique red moccasin green burlywood        Supplier#000000051              19461             6 
 antique red moccasin green burlywood        Supplier#000000051              17152             1 
 antique red moccasin green burlywood        Supplier#000000051              16192             1 
 antique red moccasin green burlywood        Supplier#000000051              11941             3 
 antique red moccasin green burlywood        Supplier#000000051               6757             3 
 antique red moccasin green burlywood        Supplier#000000051               2563             5 
 antique red moccasin green burlywood        Supplier#000000051                774             4 
 antique red moccasin green burlywood        Supplier#000000077              59072             6 
 antique red moccasin green burlywood        Supplier#000000077              56932             2 
 antique red moccasin green burlywood        Supplier#000000077              42023             1 
 antique red moccasin green burlywood        Supplier#000000077              39908             7 
 antique red moccasin green burlywood        Supplier#000000077              29348             1 
 antique red moccasin green burlywood        Supplier#000000077              13922             7 
 antique red moccasin green burlywood        Supplier#000000077              12354             3 
 antique red moccasin green burlywood        Supplier#000000077              11680             6 
 antique red moccasin green burlywood        Supplier#000000077               6528             3 
 antique red moccasin green burlywood        Supplier#000000077               3109             6 
 antique red moccasin green burlywood        Supplier#000000003              58402             1 
 antique red moccasin green burlywood        Supplier#000000003              55974             2 
 antique red moccasin green burlywood        Supplier#000000003              50949             3 
 antique red moccasin green burlywood        Supplier#000000003              49987             6 
 antique red moccasin green burlywood        Supplier#000000003              42112             4 
 antique red moccasin green burlywood        Supplier#000000003              41251             3 
 antique red moccasin green burlywood        Supplier#000000003              41122             1 
 antique red moccasin green burlywood        Supplier#000000003              32482             1 
 antique red moccasin green burlywood        Supplier#000000003              30469             5 
 antique red moccasin green burlywood        Supplier#000000003              17536             3 
 antique red moccasin green burlywood        Supplier#000000029              53952             6 
 antique red moccasin green burlywood        Supplier#000000029              52416             3 
 antique red moccasin green burlywood        Supplier#000000029              50273             1 
 antique red moccasin green burlywood        Supplier#000000029              45252             4 
 antique red moccasin green burlywood        Supplier#000000029              33927             1 
 antique red moccasin green burlywood        Supplier#000000029              31650             5 
 antique red moccasin green burlywood        Supplier#000000029              29409             2 
 antique red moccasin green burlywood        Supplier#000000029              27492             5 
 antique red moccasin green burlywood        Supplier#000000029              19171             3 
 antique red moccasin green burlywood        Supplier#000000029              13284             4 
 antique red moccasin green burlywood        Supplier#000000029               9696             4 
 antique red moccasin green burlywood        Supplier#000000029               1474             1 
 peru green hot medium thistle               Supplier#000000071              57955             1 
 peru green hot medium thistle               Supplier#000000071              56356             3 
 peru green hot medium thistle               Supplier#000000071              55461             3 
 peru green hot medium thistle               Supplier#000000071              51842             2 
 peru green hot medium thistle               Supplier#000000071              42727             1 
 peru green hot medium thistle               Supplier#000000071              41988             1 
 peru green hot medium thistle               Supplier#000000071              36550             1 
 peru green hot medium thistle               Supplier#000000071              31749             7 
 peru green hot medium thistle               Supplier#000000071              28867             5 
 peru green hot medium thistle               Supplier#000000071              28743             2 
 peru green hot medium thistle               Supplier#000000071              13029             4 
 peru green hot medium thistle               Supplier#000000071              11904             1 
 peru green hot medium thistle               Supplier#000000071               7873             1 
 peru green hot medium thistle               Supplier#000000097              54791             4 
 peru green hot medium thistle               Supplier#000000097              45030             3 
 peru green hot medium thistle               Supplier#000000097              42375             4 
 peru green hot medium thistle               Supplier#000000097              36448             5 
 peru green hot medium thistle               Supplier#000000097              35943             6 
 peru green hot medium thistle               Supplier#000000097              33440             2 
 peru green hot medium thistle               Supplier#000000097              30436             4 
 peru green hot medium thistle               Supplier#000000097              21152             6 
 peru green hot medium thistle               Supplier#000000097              20358             3 
 peru green hot medium thistle               Supplier#000000097              16647             2 
 peru green hot medium thistle               Supplier#000000023              43654             1 
 peru green hot medium thistle               Supplier#000000023              38983             1 
 peru green hot medium thistle               Supplier#000000023              37126             3 
 peru green hot medium thistle               Supplier#000000023              36388             4 
 peru green hot medium thistle               Supplier#000000023              31396             5 
 peru green hot medium thistle               Supplier#000000023              25735             4 
 peru green hot medium thistle               Supplier#000000023              22629             4 
 peru green hot medium thistle               Supplier#000000023              14369             5 
 peru green hot medium thistle               Supplier#000000023              13318             4 
 peru green hot medium thistle               Supplier#000000023               6048             3 
 peru green hot medium thistle               Supplier#000000023                289             3 
 peru green hot medium thistle               Supplier#000000049              59876             3 
 peru green hot medium thistle               Supplier#000000049              37124             4 
 peru green hot medium thistle               Supplier#000000049              32518             1 
 peru green hot medium thistle               Supplier#000000049              26979             2 
 peru green hot medium thistle               Supplier#000000049              22148             5 
 peru green hot medium thistle               Supplier#000000049              20583             1 
 peru green hot medium thistle               Supplier#000000049              16901             2 
 light seashell firebrick cornflower green   Supplier#000000093              52900             4 
 light seashell firebrick cornflower green   Supplier#000000093              23009             3 
 light seashell firebrick cornflower green   Supplier#000000093               1444             5 
 light seashell firebrick cornflower green   Supplier#000000019              58211             2 
 light seashell firebrick cornflower green   Supplier#000000019              48710             4 
 light seashell firebrick cornflower green   Supplier#000000019              39463             2 
 light seashell firebrick cornflower green   Supplier#000000019              27877             4 
 light seashell firebrick cornflower green   Supplier#000000019              13890             2 
 light seashell firebrick cornflower green   Supplier#000000019               5348             4 
 light seashell firebrick cornflower green   Supplier#000000045              59873             7 
 light seashell firebrick cornflower green   Supplier#000000045              57061             2 
 light seashell firebrick cornflower green   Supplier#000000045              45925             1 
 light seashell firebrick cornflower green   Supplier#000000045              34049             1 
 light seashell firebrick cornflower green   Supplier#000000045              31681             2 
 light seashell firebrick cornflower green   Supplier#000000045              21668             4 
 light seashell firebrick cornflower green   Supplier#000000045                865             2 
 light seashell firebrick cornflower green   Supplier#000000071              58241             6 
 light seashell firebrick cornflower green   Supplier#000000071              46693             5 
 light seashell firebrick cornflower green   Supplier#000000071              33701             1 
 light seashell firebrick cornflower green   Supplier#000000071              32358             1 
 light seashell firebrick cornflower green   Supplier#000000071              29026             2 
 light seashell firebrick cornflower green   Supplier#000000071              21604             4 
 light seashell firebrick cornflower green   Supplier#000000071              13824             2 
 light seashell firebrick cornflower green   Supplier#000000071               8034             4 
 light seashell firebrick cornflower green   Supplier#000000071               7527             2 
 medium pink floral green blue               Supplier#000000009              29540             6 
 medium pink floral green blue               Supplier#000000009              25985             4 
 medium pink floral green blue               Supplier#000000009              21794             5 
 medium pink floral green blue               Supplier#000000009              14567             5 
 medium pink floral green blue               Supplier#000000009               8326             1 
 medium pink floral green blue               Supplier#000000009               2917             2 
 medium pink floral green blue               Supplier#000000036              51492             3 
 medium pink floral green blue               Supplier#000000036              41220             4 
 medium pink floral green blue               Supplier#000000036              34215             4 
 medium pink floral green blue               Supplier#000000036              27971             2 
 medium pink floral green blue               Supplier#000000036              26723             2 
 medium pink floral green blue               Supplier#000000036              10407             6 
 medium pink floral green blue               Supplier#000000036               7302             2 
 medium pink floral green blue               Supplier#000000036               7073             4 
 medium pink floral green blue               Supplier#000000063              49189             4 
 medium pink floral green blue               Supplier#000000063              43430             2 
 medium pink floral green blue               Supplier#000000063              35489             4 
 medium pink floral green blue               Supplier#000000063              34631             2 
 medium pink floral green blue               Supplier#000000063              27971             3 
 medium pink floral green blue               Supplier#000000063              12193             4 
 medium pink floral green blue               Supplier#000000063               8452             5 
 medium pink floral green blue               Supplier#000000063               7427             3 
 medium pink floral green blue               Supplier#000000063               3718             1 
 medium pink floral green blue               Supplier#000000090              58978             1 
 medium pink floral green blue               Supplier#000000090              52039             3 
 medium pink floral green blue               Supplier#000000090              48583             1 
 medium pink floral green blue               Supplier#000000090              43777             4 
 medium pink floral green blue               Supplier#000000090              39877             3 
 medium pink floral green blue               Supplier#000000090              22406             4 
 medium pink floral green blue               Supplier#000000090              20005             2 
 azure olive burnished dim green             Supplier#000000035              59779             3 
 azure olive burnished dim green             Supplier#000000035              33347             1 
 azure olive burnished dim green             Supplier#000000035              30592             6 
 azure olive burnished dim green             Supplier#000000035              18374             1 
 azure olive burnished dim green             Supplier#000000035              13602             4 
 azure olive burnished dim green             Supplier#000000062              52832             3 
 azure olive burnished dim green             Supplier#000000062              37251             2 
 azure olive burnished dim green             Supplier#000000062              24449             2 
 azure olive burnished dim green             Supplier#000000089              51653             5 
 azure olive burnished dim green             Supplier#000000089              46816             3 
