
 l_orderkey  o_orderdate  o_shippriority 
      20641  1995-02-20                0 
      20641  1995-02-20                0 
      20641  1995-02-20                0 
      20805  1995-01-11                0 
      20805  1995-01-11                0 
      20805  1995-01-11                0 
      21061  1994-12-22                0 
      21475  1995-02-21                0 
      21475  1995-02-21                0 
      21475  1995-02-21                0 
      21760  1995-01-31                0 
      21956  1995-02-02                0 
      21956  1995-02-02                0 
      21956  1995-02-02                0 
      21956  1995-02-02                0 
      22276  1995-01-29                0 
      22276  1995-01-29                0 
      22276  1995-01-29                0 
      22276  1995-01-29                0 
      22276  1995-01-29                0 
      22276  1995-01-29                0 
      22276  1995-01-29                0 
      22433  1995-03-04                0 
      22433  1995-03-04                0 
      22433  1995-03-04                0 
      24640  1995-01-30                0 
      24640  1995-01-30                0 
      24640  1995-01-30                0 
      25027  1994-12-17                0 
      25188  1995-01-04                0 
      25188  1995-01-04                0 
      25188  1995-01-04                0 
      25603  1995-03-06                0 
      25603  1995-03-06                0 
      25603  1995-03-06                0 
      25603  1995-03-06                0 
      25669  1995-01-17                0 
      25669  1995-01-17                0 
      25669  1995-01-17                0 
      25858  1995-01-31                0 
      25858  1995-01-31                0 
      25858  1995-01-31                0 
      25926  1994-11-21                0 
      26432  1994-12-31                0 
      26432  1994-12-31                0 
      26723  1995-03-04                0 
      26723  1995-03-04                0 
      26723  1995-03-04                0 
      26723  1995-03-04                0 
      26848  1995-03-10                0 
      26848  1995-03-10                0 
      26848  1995-03-10                0 
      26848  1995-03-10                0 
      26848  1995-03-10                0 
      27361  1995-01-23                0 
      27554  1995-03-11                0 
      27554  1995-03-11                0 
      27719  1995-02-14                0 
      27719  1995-02-14                0 
      27719  1995-02-14                0 
      27719  1995-02-14                0 
      27719  1995-02-14                0 
      28195  1994-12-21                0 
      28642  1995-01-19                0 
      28642  1995-01-19                0 
      28741  1995-03-01                0 
      28741  1995-03-01                0 
      28741  1995-03-01                0 
      28741  1995-03-01                0 
      28741  1995-03-01                0 
      28741  1995-03-01                0 
      28993  1995-03-10                0 
      29830  1995-01-13                0 
      29953  1995-02-08                0 
      29953  1995-02-08                0 
      29953  1995-02-08                0 
      29953  1995-02-08                0 
      29953  1995-02-08                0 
      29958  1995-01-07                0 
      29958  1995-01-07                0 
      30182  1995-01-09                0 
      30497  1995-02-07                0 
      30497  1995-02-07                0 
      30497  1995-02-07                0 
      30497  1995-02-07                0 
      30725  1994-12-29                0 
      30725  1994-12-29                0 
      30725  1994-12-29                0 
      30725  1994-12-29                0 
      30725  1994-12-29                0 
      30981  1995-02-16                0 
      30981  1995-02-16                0 
      30981  1995-02-16                0 
      31140  1995-02-02                0 
      31747  1995-02-03                0 
      31747  1995-02-03                0 
      31747  1995-02-03                0 
      32128  1995-01-22                0 
      32128  1995-01-22                0 
      32484  1995-02-05                0 
      32484  1995-02-05                0 
      32901  1995-01-11                0 
      32901  1995-01-11                0 
      32965  1995-02-25                0 
      32965  1995-02-25                0 
      32965  1995-02-25                0 
      32965  1995-02-25                0 
      32965  1995-02-25                0 
      32965  1995-02-25                0 
      32965  1995-02-25                0 
      33764  1995-02-11                0 
      33764  1995-02-11                0 
      33764  1995-02-11                0 
      33764  1995-02-11                0 
      33794  1995-02-23                0 
      33794  1995-02-23                0 
      33794  1995-02-23                0 
      33794  1995-02-23                0 
      33794  1995-02-23                0 
      34724  1994-12-28                0 
      34727  1995-03-14                0 
      34727  1995-03-14                0 
      34727  1995-03-14                0 
      35264  1995-03-14                0 
      35266  1995-01-11                0 
      35266  1995-01-11                0 
      35266  1995-01-11                0 
      35266  1995-01-11                0 
      35266  1995-01-11                0 
      35399  1995-01-22                0 
      35399  1995-01-22                0 
      35845  1995-01-07                0 
      36069  1994-12-06                0 
      36999  1994-12-13                0 
      37888  1994-12-23                0 
      38784  1995-02-04                0 
      38882  1994-12-15                0 
      38947  1994-11-30                0 
      40001  1995-02-25                0 
      40001  1995-02-25                0 
      40001  1995-02-25                0 
      40326  1994-12-27                0 
      40612  1995-03-01                0 
      40612  1995-03-01                0 
      40612  1995-03-01                0 
      40612  1995-03-01                0 
      40612  1995-03-01                0 
      40612  1995-03-01                0 
      40835  1994-11-25                0 
      40962  1995-02-21                0 
      40962  1995-02-21                0 
      40962  1995-02-21                0 
      40962  1995-02-21                0 
      41895  1995-01-11                0 
      42081  1995-01-11                0 
      42081  1995-01-11                0 
      42081  1995-01-11                0 
      42081  1995-01-11                0 
      42081  1995-01-11                0 
      43491  1995-03-09                0 
      43491  1995-03-09                0 
      43491  1995-03-09                0 
      43491  1995-03-09                0 
      43491  1995-03-09                0 
      44102  1995-01-14                0 
      44102  1995-01-14                0 
      44102  1995-01-14                0 
      44102  1995-01-14                0 
      44102  1995-01-14                0 
      44612  1995-03-14                0 
      44612  1995-03-14                0 
      44612  1995-03-14                0 
      44612  1995-03-14                0 
      44612  1995-03-14                0 
      45349  1995-02-12                0 
      45349  1995-02-12                0 
      45829  1995-03-13                0 
      45959  1994-12-07                0 
      45991  1995-02-15                0 
      45991  1995-02-15                0 
      46341  1994-12-18                0 
      46402  1995-01-09                0 
      46402  1995-01-09                0 
      46402  1995-01-09                0 
      46528  1994-12-07                0 
      46528  1994-12-07                0 
      46562  1995-02-13                0 
      46562  1995-02-13                0 
      46980  1995-01-18                0 
      46980  1995-01-18                0 
      47076  1995-01-08                0 
      47204  1995-03-13                0 
      47204  1995-03-13                0 
      47204  1995-03-13                0 
      47204  1995-03-13                0 
      47204  1995-03-13                0 
      47714  1995-03-11                0 
      47714  1995-03-11                0 
      47714  1995-03-11                0 
      47714  1995-03-11                0 
      47714  1995-03-11                0 
      47714  1995-03-11                0 
      47714  1995-03-11                0 
      47781  1995-01-29                0 
      47781  1995-01-29                0 
      47876  1994-12-26                0 
      47876  1994-12-26                0 
      47876  1994-12-26                0 
      49537  1995-03-07                0 
      50693  1995-01-17                0 
      50945  1995-01-08                0 
      51777  1995-02-20                0 
      51777  1995-02-20                0 
      51777  1995-02-20                0 
      51777  1995-02-20                0 
      52199  1995-01-27                0 
      52199  1995-01-27                0 
      52199  1995-01-27                0 
      52482  1995-02-01                0 
      52482  1995-02-01                0 
      52482  1995-02-01                0 
      52482  1995-02-01                0 
      52640  1995-01-02                0 
      52640  1995-01-02                0 
      53634  1995-02-22                0 
      54787  1995-02-25                0 
      54787  1995-02-25                0 
      55875  1994-11-26                0 
      55906  1994-11-27                0 
      56295  1995-02-24                0 
      56295  1995-02-24                0 
      56608  1994-11-19                0 
      56711  1995-02-07                0 
      56711  1995-02-07                0 
      57378  1994-12-29                0 
      57378  1994-12-29                0 
      57987  1994-12-16                0 
      58880  1995-01-08                0 
      58880  1995-01-08                0 
      58981  1995-02-01                0 
      58981  1995-02-01                0 
      59139  1995-01-30                0 
      59139  1995-01-30                0 
      59297  1994-12-10                0 
      59686  1995-03-09                0 
      59686  1995-03-09                0 
      59843  1995-02-14                0 
      59843  1995-02-14                0 
      59843  1995-02-14                0 
      59843  1995-02-14                0 
      59843  1995-02-14                0 
      59874  1995-01-06                0 
      59874  1995-01-06                0 
      59874  1995-01-06                0 


